wavenumber,mixed_spectrum
1076.0,8.617402333512698e-26
1077.0,8.541458439494002e-26
1078.0,9.850648519510544e-26
1079.0,8.669819501280861e-26
1080.0,8.375119787850731e-26
1081.0,9.347518175242157e-26
1082.0,1.8244632565503925e-25
1083.0,8.490727264483033e-26
1084.0,9.735377066487275e-23
1085.0,1.9515010388897742e-25
1086.0,3.2672060772027764e-25
1087.0,7.955957230083919e-26
1088.0,7.897692400109844e-26
1089.0,1.92285938209697e-24
1090.0,2.717064294542819e-25
1091.0,2.0601207624040376e-25
1092.0,1.9982833380352822e-23
1093.0,6.420878384957357e-23
1094.0,8.533305133148782e-26
1095.0,1.5825998338698716e-25
1096.0,9.842827830735186e-26
1097.0,7.439990960149008e-26
1098.0,7.29488299952515e-26
1099.0,1.070050431699106e-24
1100.0,7.243759421722146e-26
1101.0,4.111051332456188e-25
1102.0,9.206676145969702e-26
1103.0,7.539028693116008e-24
1104.0,9.719568276240476e-25
1105.0,1.789969874762342e-24
1106.0,7.837027979481878e-26
1107.0,4.090975329801094e-25
1108.0,1.7054336599817618e-25
1109.0,3.3948258328090836e-25
1110.0,1.1262646754191984e-25
1111.0,1.2924145928308674e-24
1112.0,6.497855600279642e-26
1113.0,7.423896347381709e-26
1114.0,4.265546363534848e-23
1115.0,6.870341681946662e-26
1116.0,6.36592212407092e-26
1117.0,9.91057395470352e-26
1118.0,2.0350414572337804e-25
1119.0,7.1997683946688725e-25
1120.0,7.36221794854986e-26
1121.0,3.0245877153315347e-25
1122.0,5.219130804816091e-25
1123.0,2.321357597433054e-23
1124.0,8.398149778045356e-26
1125.0,6.426558095902803e-26
1126.0,1.0615134701406697e-25
1127.0,1.79613952911997e-24
1128.0,2.0463673726601915e-23
1129.0,6.738197576085196e-26
1130.0,4.2654241708476554e-23
1131.0,1.1374267953451825e-25
1132.0,7.348583075932132e-25
1133.0,2.7831512624183523e-25
1134.0,2.861930386699013e-25
1135.0,1.3138187065546059e-24
1136.0,7.661030344472337e-26
1137.0,7.92781663398043e-24
1138.0,1.5789083345833445e-24
1139.0,1.6230342511087168e-25
1140.0,8.308282270049526e-26
1141.0,3.935688497165528e-22
1142.0,4.7371902255816085e-26
1143.0,6.761383190733836e-23
1144.0,7.56809389762279e-25
1145.0,4.943767724714084e-25
1146.0,1.975739940369268e-24
1147.0,4.104493916282847e-23
